customer_id,age,monthly_spend,tenure_months,support_tickets,last_login_days,contract_type,payment_method,region,num_products,discount_used,avg_session_minutes,churn
1001,61,75.8,29,2,6,Monthly,UPI,South,5,0,58.1,0
1002,65,61.09,1,2,44,Monthly,Card,East,4,1,30.0,1
1003,37,185.22,49,1,35,Annual,UPI,North,3,1,57.0,1
1004,27,88.42,21,5,22,Monthly,Bank Transfer,East,2,1,68.2,1
1005,38,245.69,42,0,14,Annual,Bank Transfer,South,1,1,41.1,0
1006,62,99.41,72,8,16,Monthly,Card,South,5,1,85.8,1
1007,28,157.54,9,6,24,Monthly,Card,West,5,1,52.6,1
1008,38,131.53,56,2,29,Annual,Card,East,1,1,92.5,1
1009,33,80.54,42,7,1,Monthly,UPI,North,1,1,84.1,1
1010,52,338.52,17,7,35,Annual,Wallet,South,2,1,52.5,0
1011,46,258.46,67,7,7,Annual,Bank Transfer,West,2,0,10.8,1
1012,25,273.92,66,3,17,Annual,UPI,North,4,0,53.5,0
1013,27,50.54,53,7,3,Monthly,Card,West,1,0,41.2,1
1014,38,103.37,57,8,6,Monthly,UPI,North,1,0,92.2,1
1015,24,71.63,34,7,18,Monthly,Card,West,4,1,18.9,1
1016,58,98.9,8,8,5,Monthly,Wallet,South,2,0,58.6,1
1017,60,69.37,34,3,42,Monthly,UPI,East,3,0,28.9,1
1018,60,216.35,69,3,32,Annual,Wallet,North,3,0,89.0,0
1019,60,155.75,71,4,42,Annual,UPI,North,1,0,28.8,1
1020,64,85.2,33,0,5,Quarterly,Card,West,4,1,9.0,0
1021,56,101.87,70,0,23,Monthly,Card,South,5,0,43.7,1
1022,64,89.7,20,3,10,Monthly,Card,West,2,1,7.2,0
1023,38,100.89,5,7,14,Monthly,UPI,West,2,1,36.5,1
1024,25,133.46,69,5,1,Annual,Card,West,1,1,21.1,1
1025,59,382.85,33,0,45,Annual,Card,South,4,0,51.8,0
1026,63,262.86,39,8,19,Annual,Bank Transfer,North,4,1,41.2,0
1027,60,128.26,39,4,13,Quarterly,Card,North,4,1,46.8,1
1028,26,60.05,12,3,43,Monthly,UPI,East,3,0,77.6,1
1029,61,172.98,64,6,15,Quarterly,UPI,West,2,0,85.3,0
1030,50,133.76,59,2,29,Monthly,Card,North,5,1,90.5,1
1031,31,207.8,32,4,33,Annual,Bank Transfer,East,4,0,29.7,1
1032,35,53.43,9,6,26,Monthly,Card,South,3,1,42.4,1
1033,57,102.05,39,6,26,Monthly,Card,East,5,0,48.9,1
1034,50,227.48,51,0,5,Annual,Wallet,North,4,0,83.0,0
1035,38,356.0,11,7,1,Annual,UPI,East,5,0,95.0,0
1036,33,259.36,17,7,42,Annual,Bank Transfer,South,1,0,46.9,0
1037,31,288.48,40,6,25,Annual,Card,North,2,0,58.3,0
1038,57,368.59,48,1,32,Annual,Card,West,3,0,81.5,0
1039,48,62.33,69,7,29,Monthly,Bank Transfer,East,4,1,34.0,1
1040,63,91.25,24,7,13,Monthly,Card,East,3,1,35.6,1
1041,47,73.36,63,7,1,Monthly,UPI,West,1,1,24.9,1
1042,56,86.86,40,4,14,Monthly,UPI,East,1,0,33.4,1
1043,58,193.46,13,3,18,Annual,Bank Transfer,East,2,1,21.1,0
1044,29,102.27,2,4,30,Quarterly,UPI,North,4,1,35.7,1
1045,57,79.33,39,1,15,Quarterly,Card,South,1,1,59.6,0
1046,48,69.68,27,3,16,Monthly,Bank Transfer,North,1,0,26.6,1
1047,39,397.15,10,3,16,Annual,UPI,West,5,0,43.3,1
1048,40,118.99,57,1,29,Quarterly,UPI,East,3,1,89.8,1
1049,37,67.23,35,0,11,Monthly,Card,North,4,1,87.4,1
1050,42,64.25,43,6,44,Monthly,Card,South,4,1,64.6,1
1051,46,221.67,70,7,26,Annual,UPI,North,1,0,51.7,1
1052,39,80.22,4,3,45,Monthly,UPI,North,2,1,54.6,1
1053,30,59.24,54,7,30,Monthly,UPI,East,2,1,54.6,1
1054,47,117.16,1,4,19,Monthly,UPI,East,5,1,82.9,0
1055,33,291.8,30,6,2,Annual,Card,West,3,1,68.5,0
1056,23,37.9,13,7,6,Monthly,Wallet,East,5,1,6.4,1
1057,60,162.73,69,6,20,Quarterly,Bank Transfer,East,4,0,60.6,0
1058,61,267.41,39,0,2,Annual,Card,South,3,0,31.4,1
1059,26,182.43,64,2,14,Quarterly,Card,South,4,1,46.4,1
1060,43,199.5,33,7,19,Annual,Card,West,2,1,81.8,1
1061,63,90.45,64,4,14,Monthly,Card,North,5,1,24.7,1
1062,27,170.89,57,0,37,Annual,Bank Transfer,East,3,0,13.1,0
1063,54,55.77,33,7,18,Monthly,Card,South,3,0,47.1,1
1064,56,134.06,34,8,7,Monthly,UPI,North,4,1,65.6,1
1065,22,121.72,29,1,40,Quarterly,Wallet,East,4,1,63.4,1
1066,55,96.73,20,6,41,Monthly,Bank Transfer,West,1,1,60.4,1
1067,44,108.05,8,6,17,Monthly,UPI,East,2,0,90.4,1
1068,42,93.5,9,8,13,Monthly,Card,South,5,0,78.2,0
1069,29,41.73,4,2,0,Monthly,UPI,North,3,0,58.0,1
1070,49,245.12,58,8,14,Annual,Bank Transfer,North,5,0,70.5,0
1071,46,78.86,10,1,20,Monthly,Card,West,5,0,10.9,1
1072,50,119.41,71,3,27,Monthly,Card,North,4,0,42.2,1
1073,30,126.79,11,1,27,Quarterly,Bank Transfer,North,1,1,78.1,1
1074,63,200.53,37,4,22,Annual,Card,North,1,0,18.9,1
1075,35,178.39,35,0,11,Annual,UPI,North,3,1,87.9,0
1076,22,63.19,54,7,21,Monthly,Bank Transfer,West,2,1,33.0,1
1077,24,140.66,63,7,26,Quarterly,Card,West,3,0,72.9,1
1078,23,56.37,1,3,19,Monthly,Wallet,North,2,0,73.8,1
1079,35,56.63,10,6,2,Monthly,UPI,East,4,0,46.4,1
1080,46,56.04,47,1,27,Monthly,Card,West,1,0,44.2,1
1081,25,58.94,45,5,41,Monthly,Card,South,2,0,14.3,0
1082,61,103.77,42,5,9,Monthly,UPI,West,4,0,47.2,1
1083,23,126.14,12,8,24,Monthly,UPI,North,4,0,45.5,1
1084,27,215.27,65,2,2,Annual,UPI,North,2,1,94.2,0
1085,64,203.84,9,5,6,Quarterly,UPI,East,5,1,30.6,1
1086,30,343.09,17,1,19,Annual,Card,West,5,1,62.9,0
1087,26,88.67,3,5,19,Quarterly,Card,East,2,0,35.8,0
1088,53,323.52,44,2,38,Annual,UPI,North,4,0,19.6,1
1089,64,169.74,58,3,34,Annual,Wallet,East,2,1,91.9,1
1090,39,341.27,21,3,38,Annual,Bank Transfer,West,2,1,9.7,1
1091,26,231.64,56,1,14,Annual,Card,South,4,1,88.7,1
1092,41,226.33,19,2,2,Annual,UPI,East,3,1,67.6,1
1093,30,67.55,15,4,15,Monthly,UPI,West,3,0,9.3,1
1094,22,215.12,38,6,0,Quarterly,Bank Transfer,South,5,1,26.7,0
1095,53,235.52,50,7,2,Annual,Bank Transfer,North,4,1,27.8,0
1096,42,49.64,23,7,44,Monthly,Card,East,4,0,78.0,1
1097,23,97.59,70,7,16,Monthly,Card,West,1,0,30.7,1
1098,46,290.42,44,2,31,Annual,UPI,West,4,1,88.2,0
1099,55,123.95,38,4,28,Monthly,Card,East,5,1,20.0,1
1100,61,132.15,52,5,32,Annual,Wallet,North,2,0,17.9,1
1101,45,291.13,58,5,23,Annual,Card,South,4,0,56.7,0
1102,52,60.96,34,4,45,Monthly,Wallet,North,4,0,94.7,1
1103,49,376.33,45,1,35,Annual,UPI,East,5,1,85.2,0
1104,28,332.67,64,0,23,Annual,UPI,South,5,1,47.1,0
1105,51,56.92,17,5,41,Monthly,UPI,North,1,1,46.9,1
1106,29,127.77,16,8,9,Monthly,Wallet,North,3,0,19.6,1
1107,33,153.88,39,8,5,Quarterly,Bank Transfer,South,5,0,58.3,0
1108,23,373.66,34,3,36,Annual,Card,North,4,0,49.8,0
1109,40,92.32,57,6,30,Monthly,UPI,South,4,0,35.6,1
1110,44,54.88,60,1,17,Monthly,Card,South,4,0,17.7,0
1111,41,237.63,21,7,32,Annual,UPI,South,4,1,84.1,1
1112,24,41.14,37,8,0,Monthly,Bank Transfer,West,1,1,17.1,1
1113,44,154.72,71,4,39,Quarterly,Card,West,5,0,16.6,1
1114,59,64.93,5,2,45,Monthly,Bank Transfer,North,3,1,51.7,1
1115,60,169.45,65,8,34,Annual,Card,East,4,1,47.7,0
1116,65,203.86,30,0,37,Quarterly,Bank Transfer,East,4,0,52.2,0
1117,65,79.22,54,2,26,Monthly,Card,East,2,1,50.2,1
1118,56,142.04,41,2,29,Monthly,UPI,West,5,1,54.2,1
1119,36,84.67,37,3,44,Monthly,Card,East,4,1,48.2,1
1120,46,163.69,38,0,18,Annual,Wallet,South,1,1,88.2,0
1121,38,43.56,32,0,42,Monthly,Bank Transfer,South,5,0,62.4,1
1122,56,264.85,62,3,18,Annual,Card,West,3,1,63.1,0
1123,32,86.79,51,7,11,Monthly,UPI,North,3,0,5.8,1
1124,52,140.7,35,3,7,Annual,Card,West,3,0,70.8,0
1125,33,31.24,55,8,20,Monthly,UPI,West,1,1,65.2,1
1126,38,296.49,34,5,44,Annual,Card,North,2,0,65.1,0
1127,65,91.51,48,3,14,Monthly,Wallet,East,2,1,18.8,1
1128,63,340.54,68,7,33,Annual,UPI,North,3,0,87.6,1
1129,54,51.38,12,8,28,Monthly,UPI,West,1,1,16.9,1
1130,37,127.3,6,6,22,Annual,UPI,North,1,0,89.1,0
1131,62,243.57,58,6,24,Annual,Card,West,1,0,63.8,1
1132,21,381.58,70,6,34,Annual,Wallet,West,4,0,27.3,0
1133,47,164.67,31,3,4,Quarterly,Wallet,North,1,0,45.2,0
1134,24,91.84,41,5,15,Monthly,Wallet,South,3,0,93.7,0
1135,32,127.29,7,5,41,Quarterly,Card,West,4,1,67.7,1
1136,30,346.31,54,8,33,Annual,Wallet,West,2,1,26.9,0
1137,33,111.3,10,3,37,Monthly,Card,North,5,0,48.1,0
1138,28,223.75,27,6,15,Annual,UPI,South,5,1,74.8,0
1139,27,236.65,27,5,20,Annual,UPI,East,4,0,55.6,0
1140,30,74.12,64,8,41,Monthly,Card,South,3,1,73.7,1
1141,29,282.65,68,0,4,Annual,Bank Transfer,North,1,0,42.1,0
1142,60,93.56,63,0,0,Quarterly,Wallet,West,5,1,6.1,0
1143,32,74.32,31,3,39,Monthly,Card,South,5,1,78.4,0
1144,35,51.9,5,1,25,Monthly,UPI,North,4,1,54.7,1
1145,57,222.86,30,3,44,Annual,Wallet,North,5,1,29.4,1
1146,41,105.98,51,1,19,Monthly,Card,South,2,0,56.0,0
1147,65,227.39,7,1,27,Annual,Bank Transfer,East,2,0,35.7,1
1148,49,89.25,56,2,43,Monthly,Card,West,5,1,12.7,1
1149,61,56.33,14,1,0,Monthly,Card,East,3,1,37.4,1
1150,22,97.84,50,0,18,Monthly,Bank Transfer,East,4,1,75.1,0
1151,31,75.03,19,1,10,Monthly,Card,West,4,1,42.9,1
1152,33,92.16,51,5,39,Monthly,Card,North,4,1,44.6,1
1153,65,101.76,41,4,44,Monthly,Card,West,4,0,34.3,0
1154,32,88.84,27,7,18,Quarterly,Bank Transfer,West,1,1,65.6,1
1155,49,285.04,69,8,44,Annual,Bank Transfer,West,4,0,76.2,0
1156,63,149.62,52,5,27,Quarterly,Card,North,1,0,13.9,1
1157,50,330.3,45,0,30,Annual,Bank Transfer,South,1,1,42.4,0
1158,34,71.57,57,7,20,Monthly,Card,North,1,1,9.0,0
1159,36,38.83,72,6,29,Monthly,Bank Transfer,East,2,1,61.7,1
1160,48,37.74,36,1,36,Monthly,UPI,South,1,0,37.9,1
1161,45,144.19,46,7,39,Quarterly,Bank Transfer,East,2,1,87.7,1
1162,30,96.07,50,6,11,Monthly,Card,South,4,0,54.9,1
1163,21,68.22,72,8,41,Monthly,Card,West,4,1,66.6,1
1164,39,80.75,22,7,36,Monthly,Card,East,4,0,56.5,1
1165,49,136.98,32,4,2,Monthly,Wallet,North,4,1,36.4,0
1166,58,151.27,22,2,13,Quarterly,UPI,West,2,0,56.3,0
1167,53,208.5,18,6,3,Annual,UPI,North,3,0,68.1,1
1168,30,166.11,49,7,4,Quarterly,Card,West,1,1,51.4,1
1169,26,193.83,9,8,25,Annual,Bank Transfer,East,2,1,79.2,0
1170,42,166.53,13,7,1,Annual,UPI,North,1,0,44.7,0
1171,31,314.3,47,4,5,Annual,UPI,North,3,0,9.7,1
1172,34,101.95,67,7,0,Monthly,Card,South,1,1,78.5,0
1173,27,36.04,18,6,8,Monthly,Card,East,2,0,52.7,1
1174,47,149.7,12,1,8,Quarterly,Card,South,1,1,36.6,0
1175,59,123.52,39,3,33,Monthly,Wallet,North,5,0,72.3,1
1176,52,197.6,47,5,8,Quarterly,Card,North,4,1,37.9,1
1177,37,75.5,65,4,40,Monthly,Wallet,West,5,1,43.1,1
1178,34,264.33,51,1,19,Annual,Card,East,4,0,10.2,0
1179,32,91.67,21,7,22,Monthly,UPI,North,5,1,20.0,1
1180,48,80.52,64,7,32,Monthly,Card,North,3,0,50.0,1
1181,35,150.16,32,0,30,Annual,Card,North,3,1,87.8,0
1182,35,140.54,35,1,36,Monthly,Card,East,3,0,50.2,1
1183,50,311.47,42,1,35,Annual,UPI,East,4,0,38.2,0
1184,33,122.21,20,0,26,Annual,Bank Transfer,South,1,0,53.7,1
1185,40,110.99,54,7,3,Monthly,Bank Transfer,South,2,1,13.4,0
1186,26,188.27,10,0,27,Quarterly,Bank Transfer,West,2,0,31.3,1
1187,35,54.89,20,1,10,Monthly,Card,North,4,1,33.3,0
1188,26,55.66,28,5,9,Monthly,UPI,North,1,0,92.2,0
1189,49,86.67,60,1,8,Quarterly,Bank Transfer,North,1,0,10.6,0
1190,26,214.12,3,1,12,Quarterly,Card,North,4,0,13.3,0
1191,48,181.06,49,6,11,Annual,Card,North,3,0,86.7,0
1192,52,103.92,12,4,24,Monthly,Bank Transfer,North,2,1,23.0,0
1193,43,89.29,65,5,24,Monthly,UPI,East,3,0,7.3,1
1194,43,305.36,13,3,42,Annual,Wallet,South,2,1,53.0,0
1195,45,38.38,23,3,37,Monthly,UPI,South,3,1,87.3,1
1196,52,129.86,12,0,14,Monthly,Card,North,5,0,6.8,1
1197,41,64.91,15,8,23,Monthly,Card,South,1,1,68.4,1
1198,48,245.73,23,8,44,Annual,Wallet,East,5,1,25.1,0
1199,65,194.44,24,5,39,Annual,Card,North,2,0,89.3,0
1200,26,289.51,58,0,16,Annual,UPI,East,2,0,67.4,0
1201,31,159.49,45,8,24,Annual,Bank Transfer,West,1,1,76.0,1
1202,22,114.26,44,2,24,Monthly,Wallet,North,2,0,54.2,1
1203,62,84.1,7,1,21,Monthly,UPI,South,2,0,41.8,1
1204,46,142.34,7,5,0,Quarterly,UPI,South,4,0,31.5,1
1205,26,67.22,61,7,42,Monthly,Card,West,3,0,62.8,1
1206,37,99.46,20,1,5,Monthly,Card,North,3,1,92.4,1
1207,51,80.75,11,6,45,Quarterly,Card,East,1,0,15.8,1
1208,48,55.76,19,4,20,Monthly,UPI,South,1,0,39.9,1
1209,60,120.54,54,2,9,Quarterly,UPI,North,5,0,88.2,1
1210,45,162.03,5,2,17,Quarterly,Bank Transfer,West,4,0,60.6,1
1211,51,176.98,44,4,19,Annual,UPI,North,3,1,82.2,0
1212,41,109.11,25,7,13,Monthly,Card,North,4,1,73.4,1
1213,29,165.8,23,3,12,Annual,Bank Transfer,North,1,0,8.0,1
1214,28,106.83,58,2,30,Quarterly,Card,West,5,1,36.0,1
1215,57,244.79,29,3,17,Annual,Card,South,4,0,82.8,0
1216,35,78.18,36,6,24,Monthly,UPI,East,3,1,27.7,1
1217,63,166.46,39,1,30,Annual,UPI,East,1,1,94.0,1
1218,30,119.37,52,5,43,Monthly,Card,North,2,0,64.0,1
1219,57,167.32,69,7,42,Annual,Card,South,3,1,81.1,1
1220,56,262.03,12,3,22,Annual,Card,East,2,1,42.8,1
1221,61,158.05,61,3,32,Quarterly,Wallet,North,1,1,52.7,0
1222,50,15.0,11,7,21,Monthly,UPI,South,2,1,62.1,1
1223,26,63.38,52,6,30,Monthly,Card,West,4,0,8.4,1
1224,64,39.62,45,4,8,Monthly,UPI,South,1,1,50.3,1
1225,54,118.0,44,7,22,Monthly,UPI,South,2,0,90.3,1
1226,58,39.6,49,4,34,Monthly,Card,North,5,0,58.5,1
1227,28,95.66,27,0,19,Monthly,Bank Transfer,South,4,0,64.6,0
1228,28,130.78,26,3,16,Monthly,UPI,West,5,0,37.2,1
1229,36,108.35,64,2,5,Monthly,UPI,North,5,0,70.1,1
1230,27,151.83,47,5,27,Annual,UPI,East,1,0,81.6,0
1231,60,83.82,44,2,7,Monthly,UPI,East,4,1,91.6,0
1232,28,85.18,14,6,37,Monthly,UPI,South,4,1,21.3,0
1233,29,123.85,57,0,4,Monthly,Bank Transfer,West,3,1,6.1,0
1234,42,86.63,56,3,30,Monthly,UPI,North,3,1,18.4,1
1235,51,218.78,63,5,15,Annual,UPI,North,3,1,9.5,0
1236,49,23.22,16,7,41,Monthly,Bank Transfer,East,1,0,41.3,1
1237,53,133.29,44,5,3,Quarterly,UPI,West,2,1,34.9,1
1238,63,64.32,71,8,23,Monthly,Card,East,1,0,85.7,1
1239,28,329.57,25,5,6,Annual,Card,West,4,0,88.4,0
1240,29,186.35,71,6,37,Annual,Card,North,4,0,67.3,1
1241,45,42.89,36,6,21,Monthly,Bank Transfer,South,3,1,77.4,1
1242,41,347.28,26,3,39,Annual,Wallet,South,3,1,87.9,0
1243,28,165.98,69,4,27,Annual,Bank Transfer,West,1,0,7.3,1
1244,37,120.07,27,8,2,Monthly,Card,East,3,1,14.2,1
