customer_id,age,monthly_spend,tenure_months,support_tickets,last_login_days,contract_type,payment_method,region,num_products,discount_used,avg_session_minutes
5001,46,102.69,35,7,24,Monthly,Card,North,2,1,75.9
5002,38,91.74,32,6,37,Monthly,Wallet,South,3,0,31.0
5003,41,156.24,17,8,21,Quarterly,Card,West,2,0,31.1
5004,40,73.46,59,6,12,Monthly,Bank Transfer,South,5,0,34.2
5005,36,147.04,51,8,9,Quarterly,Card,North,3,1,58.1
5006,47,44.49,13,6,32,Monthly,UPI,North,2,1,13.0
5007,65,172.22,13,4,34,Monthly,UPI,North,5,1,78.3
5008,38,139.35,37,6,12,Quarterly,Card,North,5,1,75.5
5009,61,101.04,45,6,13,Monthly,UPI,East,2,0,46.4
5010,34,128.18,15,2,41,Monthly,Bank Transfer,North,4,1,69.7
5011,64,114.99,29,1,2,Annual,Card,East,1,1,14.7
5012,57,168.91,11,3,14,Quarterly,UPI,North,2,1,92.5
5013,64,119.31,6,8,44,Monthly,UPI,East,3,0,70.6
5014,37,349.75,2,4,37,Annual,Card,West,5,0,74.4
5015,30,58.37,54,1,25,Monthly,UPI,West,5,0,72.3
5016,33,50.39,39,8,16,Monthly,UPI,East,2,0,23.9
5017,52,323.26,27,8,24,Annual,Wallet,North,1,0,34.2
5018,29,294.45,3,2,19,Annual,Card,East,4,0,19.5
5019,55,62.88,18,7,44,Monthly,Bank Transfer,East,1,0,92.3
5020,59,77.62,5,7,19,Monthly,Bank Transfer,North,5,0,64.2
5021,28,76.03,31,1,21,Monthly,UPI,North,2,1,9.6
5022,37,306.01,23,7,19,Annual,Card,East,1,0,17.5
5023,55,102.54,55,6,38,Quarterly,Bank Transfer,East,3,0,93.3
5024,49,110.5,27,5,23,Monthly,UPI,West,5,1,84.8
5025,46,122.05,47,0,16,Monthly,UPI,West,4,0,47.9
5026,35,100.55,24,4,2,Monthly,UPI,West,5,1,75.0
5027,55,129.15,63,2,34,Quarterly,UPI,North,2,0,47.5
5028,31,36.27,24,2,35,Monthly,Card,South,2,1,6.2
5029,58,120.55,12,0,35,Quarterly,Card,East,3,1,59.5
5030,43,92.21,25,5,28,Quarterly,UPI,East,2,0,74.0
5031,28,174.51,63,8,2,Quarterly,Wallet,East,5,1,52.2
5032,27,159.43,32,4,4,Quarterly,Wallet,East,5,1,83.4
5033,39,65.89,37,2,35,Monthly,Card,West,1,0,12.7
5034,43,102.29,30,7,35,Monthly,Wallet,North,5,0,65.1
5035,36,213.43,41,5,35,Annual,Card,North,3,1,87.3
5036,38,30.92,54,6,36,Monthly,UPI,North,1,1,37.3
5037,24,31.74,30,7,17,Monthly,Card,South,3,1,85.4
5038,63,126.74,18,5,14,Quarterly,Card,North,1,1,22.5
5039,38,59.43,24,5,0,Monthly,UPI,West,5,1,65.8
5040,23,72.57,40,1,21,Monthly,Bank Transfer,South,3,0,89.8
